Summary,Issue Type,Epic Name,Epic Link,Priority,Assignee,Component,Labels,Story Points,Sprint,Description
"[Auth] Phục Hồi & Thay Đổi Mật Khẩu",Epic,EP12-Password,,Medium,,,Auth Sprint-1,,Sprint 1,"UC003 Quên Mật Khẩu + UC004 Đổi Mật Khẩu. Triển khai trên cả 2 BE (Admin và Mobile)."
"[Admin BE] API Quên/Đặt lại/Đổi Mật khẩu",Story,,EP12-Password,Medium,Admin BE Dev,Admin-BE,Backend Auth Sprint-1,2,Sprint 1,"POST forgot-password + reset-password + change-password. Token JWT 15 phút. Rate limit 3 lần/15 phút. Token dùng 1 lần. Xác thực mật khẩu hiện tại."
"[Mobile BE] API Quên/Đặt lại/Đổi Mật khẩu",Story,,EP12-Password,Medium,Mobile BE Dev,Mobile-BE,Backend Auth Sprint-1,2,Sprint 1,"POST forgot-password + reset-password + change-password. Token JWT 15 phút. Deep link app://reset-password?token=xxx. Rate limit. Token dùng 1 lần."
"[Admin FE] Giao diện Quên & Đổi Mật khẩu",Story,,EP12-Password,Medium,Admin FE Dev,Admin-FE,Frontend Auth Sprint-1,2,Sprint 1,"Trang quên mật khẩu + đặt lại mật khẩu + đổi mật khẩu (Cài đặt > Bảo mật). Gọi Admin APIs."
"[Mobile FE] Giao diện Quên & Đổi Mật khẩu",Story,,EP12-Password,Medium,Mobile FE Dev,Mobile-FE,Mobile Auth Sprint-1,2,Sprint 1,"Màn hình quên mật khẩu + đặt lại mật khẩu. Xử lý deep link. Màn hình đổi mật khẩu (Cài đặt). Gọi Mobile APIs."
"[QA] Kiểm thử các luồng Mật khẩu",Story,,EP12-Password,Medium,Tester,QA,Test Auth Sprint-1,2,Sprint 1,"Test quên/đặt lại/đổi trên cả 2 nền tảng. Test token hết hạn 15 phút. Test rate limiting. Test token dùng 1 lần. Test mật khẩu mới trùng cũ."
"[Infra] Dịch vụ Thu thập Dữ liệu & MQTT",Epic,EP06-Ingestion,,High,,,Infra Sprint-2,,Sprint 2,"Setup dịch vụ nhận dữ liệu từ thiết bị/giả lập qua MQTT hoặc HTTP. Lưu vào TimescaleDB."
"[Mobile BE] Setup MQTT + HTTP Ingestion",Story,,EP06-Ingestion,High,Mobile BE Dev,Mobile-BE,Backend Infra Sprint-2,3,Sprint 2,"Setup MQTT broker (Mosquitto). MQTT subscriber. POST /api/mobile/telemetry/ingest. Validate dữ liệu (HR 40-200 SpO2 70-100). Ghi vào bảng vitals + motion_data."
"[AI] Kiểm tra Định dạng & Chất lượng Dữ liệu",Story,,EP06-Ingestion,High,AI Dev,AI-Models,AI Infra Sprint-2,1,Sprint 2,"Review định dạng dữ liệu từ ingestion. Test với dữ liệu mẫu từ simulator. Xác minh chất lượng tín hiệu (signal_quality motion_artifact)."
"[QA] Kiểm thử Thu thập Dữ liệu MQTT & HTTP",Story,,EP06-Ingestion,High,Tester,QA,Test Infra Sprint-2,2,Sprint 2,"Test MQTT ingestion với simulator. Test HTTP ingestion. Test validation (giá trị ngoài phạm vi). Verify dữ liệu lưu vào TimescaleDB."
"[Device] Kết Nối & Quản Lý Thiết Bị IoT",Epic,EP07-Device,,High,,,Device Sprint-2,,Sprint 2,"Bệnh nhân kết nối thiết bị IoT với tài khoản. Xem trạng thái thiết bị (online/offline pin tín hiệu)."
"[Mobile BE] API Đăng ký/Danh sách/Huỷ/Trạng thái Thiết bị",Story,,EP07-Device,High,Mobile BE Dev,Mobile-BE,Backend Device Sprint-2,3,Sprint 2,"POST register device. GET danh sách devices. POST unbind. GET status (pin tín hiệu last_seen). Logic online/offline (last_seen < 5 phút)."
"[Mobile FE] Giao diện Kết nối & Danh sách Thiết bị",Story,,EP07-Device,High,Mobile FE Dev,Mobile-FE,Mobile Device Sprint-2,2,Sprint 2,"Màn hình kết nối thiết bị (quét QR hoặc nhập tay). Danh sách thiết bị. Thẻ trạng thái (pin tín hiệu online/offline). Tự làm mới 30s. Huỷ kết nối."
"[QA] Kiểm thử Đăng ký & Trạng thái Thiết bị",Story,,EP07-Device,High,Tester,QA,Test Device Sprint-2,1,Sprint 2,"Test luồng đăng ký thiết bị. Test danh sách + huỷ kết nối. Test với nhiều thiết bị. Test phát hiện offline."
"[Mobile BE] API Cấu hình Thiết bị (UC041)",Story,,EP07-Device,Medium,Mobile BE Dev,Mobile-BE,Backend Device Sprint-2,2,Sprint 2,"GET /api/mobile/devices/{id}/config (lấy cấu hình hiện tại). PUT /api/mobile/devices/{id}/config (cập nhật). Validate giá trị (tần suất đo >= ngưỡng). Lưu vào DB. Gửi lệnh config xuống thiết bị/simulator. Xử lý pending sync khi thiết bị offline. Ghi log action=device.config.updated."
"[Mobile FE] Giao diện Cài đặt Thiết bị (UC041)",Story,,EP07-Device,Medium,Mobile FE Dev,Mobile-FE,Mobile Device Sprint-2,1,Sprint 2,"Màn hình Cài đặt thiết bị: tần suất gửi dữ liệu bật/tắt rung cảnh báo bật/tắt theo dõi giấc ngủ. Nhóm tuỳ chọn Cơ bản/Nâng cao. Validate + nút Lưu. Hiển thị trạng thái pending sync nếu thiết bị offline."
"[QA] Kiểm thử Cấu hình Thiết bị (UC041)",Story,,EP07-Device,Medium,Tester,QA,Test Device Sprint-2,1,Sprint 2,"Test thay đổi cấu hình + lưu thành công. Test validate giá trị ngoài phạm vi. Test pending sync khi thiết bị offline. Test ghi log."
"[Monitoring] Chỉ Số Sinh Tồn Realtime & Lịch Sử",Epic,EP08-Monitoring,,High,,,Monitoring Sprint-2,,Sprint 2,"Hiển thị chỉ số sức khoẻ real-time (HR SpO2 BP Temp). Xem chi tiết và lịch sử. UC006 UC007 UC008."
"[Mobile BE] API Chỉ số Sức khoẻ (Mới nhất + Chi tiết + Lịch sử)",Story,,EP08-Monitoring,High,Mobile BE Dev,Mobile-BE,Backend Monitoring Sprint-2,3,Sprint 2,"GET vital-signs mới nhất. GET chi tiết từng chỉ số (min max avg std). GET lịch sử (ngày/tuần/tháng). Cảnh báo ngưỡng. Phân quyền bệnh nhân/người chăm sóc. Logic is_stale."
"[Mobile FE] Dashboard Chỉ số & Biểu đồ",Story,,EP08-Monitoring,High,Mobile FE Dev,Mobile-FE,Mobile Monitoring Sprint-2,3,Sprint 2,"Dashboard: Thẻ HR/SpO2/BP/Temp có màu sắc. Biểu đồ đường 1h. Tự làm mới 5s. Chi tiết: thống kê + chọn khoảng thời gian. Lịch sử: lịch + biểu đồ."
"[QA] Kiểm thử Hiển thị Chỉ số & Cảnh báo",Story,,EP08-Monitoring,High,Tester,QA,Test Monitoring Sprint-2,2,Sprint 2,"Test chỉ số real-time. Test ngưỡng: bình thường(xanh) cảnh báo(vàng) nguy hiểm(đỏ). Test phân quyền bệnh nhân vs người chăm sóc. Test tự làm mới. Test lịch sử."
"[Emergency] Cảnh Báo Té Ngã (Fall Detection)",Epic,EP09-FallDetect,,High,,,Emergency Sprint-3,,Sprint 3,"Phát hiện té ngã từ dữ liệu chuyển động. Đếm ngược 30s. Tự động kích hoạt SOS nếu không phản hồi. UC010."
"[AI] Xây dựng Mô hình Phát hiện Té ngã",Story,,EP09-FallDetect,High,AI Dev,AI-Models,AI Emergency Sprint-3,3,Sprint 3,"Dịch vụ AI Fall Detection. Input: cửa sổ motion_data 6 giây 50Hz = 300 mẫu. Output: xác suất té ngã + độ tin cậy. Ngưỡng > 0.85 kích hoạt. Giải thích XAI timeline."
"[Mobile BE] Tích hợp AI + API Sự kiện Té ngã",Story,,EP09-FallDetect,High,Mobile BE Dev,Mobile-BE,Backend Emergency Sprint-3,3,Sprint 3,"Dữ liệu chuyển động → kích hoạt AI suy luận. Phát hiện té ngã → tạo bản ghi fall_events. POST xác nhận (an toàn). POST kích hoạt SOS (tự động sau 30s). Tạo cảnh báo + push FCM."
"[Mobile FE] Giao diện Cảnh báo Té ngã (Đếm ngược + Nút)",Story,,EP09-FallDetect,High,Mobile FE Dev,Mobile-FE,Mobile Emergency Sprint-3,2,Sprint 3,"Cảnh báo toàn màn hình: đếm ngược 30s. Nút TÔI KHÔNG SAO + GỌI CỨU HỘ. Lắng nghe push notification. Rung + âm thanh cảnh báo."
"[QA] Kiểm thử Phát hiện Té ngã End-to-End",Story,,EP09-FallDetect,High,Tester,QA,Test Emergency Sprint-3,2,Sprint 3,"Test: Phát hiện té ngã → Cảnh báo → Xác nhận an toàn → Huỷ. Test: Không phản hồi 30s → Tự động SOS. Test ngưỡng AI. Test push notification."
"[Emergency] Gửi và Nhận SOS Thủ Công",Epic,EP10-SOS,,High,,,Emergency Sprint-3,,Sprint 3,"Bệnh nhân bấm nút SOS thủ công. Người chăm sóc nhận thông báo và xử lý. UC014 UC015 UC011."
"[Mobile BE] API SOS Thủ công + Huỷ + Phản hồi + Xử lý",Story,,EP10-SOS,High,Mobile BE Dev,Mobile-BE,Backend Emergency Sprint-3,3,Sprint 3,"POST kích hoạt SOS (device_id toạ độ). Lấy danh bạ khẩn cấp theo thứ tự ưu tiên. Gửi push + SMS. POST huỷ (trong 5 phút). GET SOS đang hoạt động. POST phản hồi. POST giải quyết."
"[Mobile FE] Nút SOS + Giao diện Chế độ Khẩn cấp",Story,,EP10-SOS,High,Mobile FE Dev,Mobile-FE,Mobile Emergency Sprint-3,2,Sprint 3,"Nút SOS (lớn đỏ) giữ 3s. Lấy GPS. Màn hình chế độ khẩn cấp + đếm ngược huỷ. Thông báo SOS + chi tiết (thông tin bệnh nhân bản đồ GPS). Nút Đã nhận + Đã giải quyết."
"[QA] Kiểm thử Luồng SOS End-to-End",Story,,EP10-SOS,High,Tester,QA,Test Emergency Sprint-3,2,Sprint 3,"Test toàn bộ luồng SOS. Test huỷ trong 5 phút. Test gửi push + SMS. Test nhận SOS xác nhận giải quyết. Test với nhiều người chăm sóc."
"[Notification] Liên Hệ Khẩn Cấp & Thông Báo",Epic,EP11-Notification,,Medium,,,Notification Sprint-3,,Sprint 3,"Quản lý danh bạ liên hệ khẩn cấp. Quản lý trung tâm thông báo và cài đặt. UC030 UC031."
"[Mobile BE] CRUD Liên hệ Khẩn cấp + API Thông báo",Story,,EP11-Notification,Medium,Mobile BE Dev,Mobile-BE,Backend Notification Sprint-3,3,Sprint 3,"CRUD API danh bạ khẩn cấp. Validate SĐT. Ưu tiên 1-5. GET danh sách cảnh báo (lọc theo loại/mức độ/chưa đọc). POST đánh dấu đã đọc. GET/PUT cài đặt thông báo."
"[Mobile FE] Giao diện Danh bạ Khẩn cấp & Trung tâm Thông báo",Story,,EP11-Notification,Medium,Mobile FE Dev,Mobile-FE,Mobile Notification Sprint-3,2,Sprint 3,"Danh bạ khẩn cấp (Cài đặt): danh sách ưu tiên thêm/sửa/xoá. Trung tâm thông báo: danh sách lọc. Cài đặt thông báo."
"[QA] Kiểm thử Thông báo & Danh bạ",Story,,EP11-Notification,Medium,Tester,QA,Test Notification Sprint-3,1,Sprint 3,"Test CRUD danh bạ. Test sắp xếp ưu tiên. Test validate SĐT. Test trung tâm thông báo lọc. Test cập nhật cài đặt."
"[Analysis] Chấm Điểm Rủi Ro (Risk Scoring)",Epic,EP13-RiskScore,,Medium,,,Analysis Sprint-4,,Sprint 4,"Mô hình Risk Scoring (XGBoost). SHAP explainer. Điểm 0-100 Mức LOW/MEDIUM/HIGH/CRITICAL. UC016 UC017."
"[AI] Xây dựng Mô hình Chấm điểm Rủi ro (XGBoost + SHAP)",Story,,EP13-RiskScore,Medium,AI Dev,AI-Models,AI Analysis Sprint-4,5,Sprint 4,"Mô hình XGBoost: 22 features (HRV HR BP SpO2 nhân khẩu học). Output: điểm 0-100 + mức. Trích xuất đặc trưng từ vitals 24h. SHAP explainer top 5 yếu tố. Lịch trình chạy mỗi 6h."
"[Mobile BE] API Điểm Rủi ro (Mới nhất + Lịch sử)",Story,,EP13-RiskScore,Medium,Mobile BE Dev,Mobile-BE,Backend Analysis Sprint-4,2,Sprint 4,"GET điểm rủi ro mới nhất. Logic cache: điểm < 1h trả cached ngược lại gọi AI. GET lịch sử điểm rủi ro. Phân quyền. Nếu HIGH/CRITICAL → tạo cảnh báo."
"[Mobile FE] Giao diện Báo cáo Rủi ro",Story,,EP13-RiskScore,Medium,Mobile FE Dev,Mobile-FE,Mobile Analysis Sprint-4,2,Sprint 4,"Màn hình báo cáo rủi ro: điểm 0-100 đồng hồ đo có màu. Phần XAI (top 5 yếu tố). Biểu đồ xu hướng. Chi tiết: trực quan hoá tầm quan trọng đặc trưng."
"[QA] Kiểm thử Chấm điểm Rủi ro",Story,,EP13-RiskScore,Medium,Tester,QA,Test Analysis Sprint-4,2,Sprint 4,"Test tính toán điểm rủi ro. Test logic cache. Test cảnh báo khi HIGH/CRITICAL. Test lịch sử. Test phân quyền bệnh nhân vs người chăm sóc."
"[Sleep] Phân Tích & Báo Cáo Giấc Ngủ",Epic,EP14-Sleep,,Medium,,,Sleep Sprint-4,,Sprint 4,"Thuật toán phân tích giấc ngủ. Phát hiện giai đoạn: Thức Nông Sâu REM. Tính thời lượng hiệu suất điểm chất lượng. UC020 UC021."
"[AI] Xây dựng Thuật toán Phân tích Giấc ngủ",Story,,EP14-Sleep,Medium,AI Dev,AI-Models,AI Sleep Sprint-4,3,Sprint 4,"Phân tích giấc ngủ: Input HR HRV motion_data cửa sổ 8-10h. Phát hiện giai đoạn Thức/Nông/Sâu/REM. Tính thời lượng hiệu suất điểm chất lượng. Chạy mỗi sáng."
"[Mobile BE] API Báo cáo Giấc ngủ (Mới nhất + Lịch sử)",Story,,EP14-Sleep,Medium,Mobile BE Dev,Mobile-BE,Backend Sleep Sprint-4,2,Sprint 4,"GET phiên giấc ngủ mới nhất. GET lịch sử giấc ngủ (từ/đến). Tạo bảng sleep_sessions nếu chưa có. Triển khai dịch vụ phân tích (gọi thuật toán AI)."
"[Mobile FE] Giao diện Báo cáo Giấc ngủ",Story,,EP14-Sleep,Medium,Mobile FE Dev,Mobile-FE,Mobile Sleep Sprint-4,2,Sprint 4,"Màn hình báo cáo giấc ngủ: biểu đồ timeline giai đoạn. Hiển thị thời lượng hiệu suất điểm chất lượng. Lịch sử với lịch."
"[QA] Kiểm thử Phân tích Giấc ngủ",Story,,EP14-Sleep,Medium,Tester,QA,Test Sleep Sprint-4,1,Sprint 4,"Test kết quả phân tích giấc ngủ. Test phát hiện giai đoạn. Test lịch sử. Test lịch trình chạy hàng ngày."
"[Admin] Quản Lý Người Dùng & Thiết Bị",Epic,EP15-AdminManage,,Medium,,,Admin Sprint-4,,Sprint 4,"Admin dashboard quản lý toàn bộ người dùng và thiết bị trong hệ thống. UC022 UC025."
"[Admin BE] API CRUD Người dùng",Story,,EP15-AdminManage,Medium,Admin BE Dev,Admin-BE,Backend Admin Sprint-4,3,Sprint 4,"GET /api/admin/users (danh sách tìm kiếm lọc phân trang). POST tạo. GET chi tiết. PUT cập nhật. DELETE xoá mềm. POST khoá/mở khoá. Phân quyền ADMIN. Ghi audit log."
"[Admin BE] API CRUD Thiết bị",Story,,EP15-AdminManage,Medium,Admin BE Dev,Admin-BE,Backend Admin Sprint-4,2,Sprint 4,"GET /api/admin/devices (danh sách). GET chi tiết. PUT cập nhật. POST gán cho user. POST khoá/mở khoá. Phân quyền ADMIN."
"[Admin FE] Trang Quản lý Người dùng",Story,,EP15-AdminManage,Medium,Admin FE Dev,Admin-FE,Frontend Admin Sprint-4,3,Sprint 4,"Trang Quản lý Users: bảng tìm kiếm lọc phân trang. Modal Thêm/Sửa user. Xác nhận Xoá. Nút Khoá/Mở khoá."
"[Admin FE] Trang Quản lý Thiết bị",Story,,EP15-AdminManage,Medium,Admin FE Dev,Admin-FE,Frontend Admin Sprint-4,2,Sprint 4,"Trang Quản lý Devices: bảng tìm kiếm lọc. Chi tiết thiết bị. Gán cho user. Khoá/Mở khoá."
"[QA] Kiểm thử CRUD Admin Users & Devices",Story,,EP15-AdminManage,Medium,Tester,QA,Test Admin Sprint-4,2,Sprint 4,"Test CRUD users: danh sách tìm kiếm lọc phân trang tạo sửa xoá khoá. Test CRUD devices: danh sách cập nhật gán khoá. Test phân quyền ADMIN. Test audit logs."
"[Admin] Cấu Hình Hệ Thống & Xem Log",Epic,EP16-AdminConfig,,Low,,,Admin Sprint-4,,Sprint 4,"Admin cấu hình tham số hệ thống và xem/xuất system logs. UC024 UC026."
"[Admin BE] API Cài đặt Hệ thống + Logs",Story,,EP16-AdminConfig,Low,Admin BE Dev,Admin-BE,Backend Admin Sprint-4,2,Sprint 4,"GET/PUT /api/admin/settings (ngưỡng sinh tồn cấu hình AI cài đặt thông báo chính sách lưu trữ). GET /api/admin/logs (lọc phân trang). Xuất CSV. Tải cài đặt vào cache."
"[Admin FE] Trang Cài đặt + Trang Logs",Story,,EP16-AdminConfig,Low,Admin FE Dev,Admin-FE,Frontend Admin Sprint-4,2,Sprint 4,"Trang Cài đặt Hệ thống: form cho ngưỡng + cấu hình + lưu. Trang System Logs: bảng lọc khoảng ngày. Nút Xuất CSV."
"[QA] Kiểm thử Cài đặt & Logs",Story,,EP16-AdminConfig,Low,Tester,QA,Test Admin Sprint-4,1,Sprint 4,"Test cập nhật và áp dụng cài đặt. Test hiển thị logs lọc. Test xuất CSV."
